uid;age_shooter1;gender_shooter1;race_ethnicity_shooter1;shooter_relationship1;shooter_deceased1;deceased_notes1
1;6;m;b;student;0;
2;6;m;;student;0;
3;6;m;;student;;
4;7;m;w;student;0;
5;8;m;;student;0;
6;9;m;w;student;0;
7;11;m;;student;0;
8;12;m;h;student;0;
9;12;m;h;student;1;suicide
10;12;m;w;student;0;
11;12;m;w;;;
12;12;f;;student;0;
13;12;m;;;0;
14;12;m;;student;;
15;12;;;student;;
16;13;m;ai;student;0;
17;13;m;b;student;0;
18;13;m;w;student in summer school;0;
19;13;m;w;student;0;
20;13;m;;no connection;0;
21;13;m;;student;0;
22;13;m;;;;
23;13;m;;student;;
24;14;m;a;student;0;
25;14;f;w;student;0;
26;14;m;w;student;1;suicide
27;14;m;w;student;0;
28;14;m;w;former student;0;
29;14;m;w;student;0;
30;14;m;;former student (expelled);0;
31;14;m;;student;0;
32;14;m;;student (suspended);0;
33;14;m;;student;1;suicide
34;14;f;;student;1;suicide
35;14;;;student;0;
36;14;m;;;;
37;14;m;;student;;
38;15;m;b;student;0;
39;15;f;b;student;0;
40;15;m;b;student;0;
41;15;m;b;;;
42;15;m;n;student;1;suicide
43;15;m;w;student;0;
44;15;m;w;student;1;suicide
45;15;m;w;former student (expelled);0;
46;15;m;;student;0;
47;15;m;;student;1;suicide
48;15;f;;student;1;suicide
49;15;m;;;;
50;15;m;;student;;
51;15;;;student;;
52;16;m;ai;former student;1;suicide
53;16;m;b;student;0;
54;16;m;b;suspended student from different campus;0;
55;16;m;b;;0;
56;16;m;b;;;
57;16;m;b;student;;
58;16;m;h;student;1;suicide
59;16;m;m;student;;
60;16;m;w;student;0;
61;16;m;;student;1;suicide
62;16;m;;student;0;
63;16;m;;former student (expelled);0;
64;16;m;;;0;
65;16;;;student;0;
66;16;;;student;;
67;16;m;;student;;
68;17;m;b;student;1;suicide
69;17;m;b;;0;
70;17;m;b;student at rival school;0;
71;17;m;b;student;0;
72;17;m;b;;1;
73;17;m;b;;;
74;17;m;b;student;1;suicide
75;17;m;h;not a student but often hung around the school;1;killed by police
76;17;m;w;student;0;
77;17;m;w;girlfriend was student;1;suicide
78;17;m;w;student at neighboring school, rode bus with some victims;0;
79;17;m;w;student;1;suicide
80;17;m;;student;0;
81;17;m;;former student (expelled);0;
82;17;m;;student;1;suicide
83;17;m;;former student;0;
84;17;m;;non-student;0;
85;17;;;student;;
86;17;m;;student;;
87;17;m;;;;
88;18;m;b;student;0;
89;18;m;b;;0;
90;18;m;b;student;;
91;18;m;h;;;
92;18;m;w;student;1;suicide
93;18;m;;student;0;
94;18;m;;;0;
95;18;m;;;;
96;18;;;;0;
97;18;m;;student;;
98;19;m;b;none;0;
99;19;m;b;brother of student;0;
100;19;m;b;;;
101;19;m;h;former student;0;
102;19;m;h;student;;
103;19;m;w;former student (expelled);0;
104;19;m;w;student;0;
105;19;m;w;employee;;
106;19;m;;former boyfriend of student;0;
107;19;m;;none;0;
108;19;m;;;0;
109;19;m;;former student;0;
110;20;m;b;;;
111;20;m;w;former student;1;suicide
112;20;m;w;none apparent;0;
113;20;m;w;;;
114;20;m;;;0;
115;21;m;b;;0;
116;21;m;w;former student;1;suicide
117;21;m;;;;
118;22;f;b;friend of student;0;
119;22;m;b;associate of student;;
120;22;m;;;0;
121;23;m;;;0;
122;23;;;;;
123;23;m;;;1;
124;24;m;b;;;
125;25;m;;brother of student;0;
126;25;m;;former student;;
127;26;m;b;boyfriend of parent;0;
128;26;m;w;neighbor of school;0;
129;27;m;h;;0;
130;27;f;;parent;;
131;28;m;b;ex-boyfriend of student;0;
132;28;m;w;fired teacher;1;suicide
133;28;f;w;former student;1;police shooting
134;28;f;;security guard;0;
135;28;f;;;0;
136;28;m;;;0;
137;29;m;b;parent of student;0;
138;30;f;w;parent of student;0;
139;30;m;;father of student;1;police shooting
140;32;m;w;"none; worked in community";1;suicide
141;32;m;w;;0;
142;32;m;;;;
143;33;f;;parent of student;0;
144;34;m;b;former boyfriend of student's mother;0;
145;38;m;b;father of student;0;
146;38;m;;resource officer;0;
147;39;m;;spouse of teacher;1;suicide
148;41;m;w;none;0;
149;41;m;;parent of student;0;
150;42;m;b;father of student;0;
151;44;m;w;janitor;0;
152;44;m;w;had beef with family of student at school;1;suicide
153;45;m;w;father of football player;0;
154;45;m;;;;
155;47;m;b;;;
156;47;m;;dating mother of student;1;suicide
157;48;m;;;1;suicide
158;49;m;;parent of students;0;
159;50;m;w;resource officer;0;
160;53;m;b;husband of teacher;1;suicide
161;53;m;w;;1;suicide
162;53;m;w;teacher;0;
163;54;;;;;
164;55;m;b;security guard;0;
165;56;m;w;spouse of teacher;1;suicide
166;72;m;w;substitute teacher;0;
167;;m;b;none;0;
168;;m;b;;0;
169;;m;b;;;
170;;m;h;father of student;0;
171;;m;Hispanic;;;
172;;h;m;;0;
173;;m;w;SWAT officer;0;
174;;m;w;school resource officer;0;
175;;m;w;teacher;0;
176;;m;w;resource officer;0;
177;;m;w;school resource deputy;0;
178;;m;;;0;
179;;m;;student;0;
180;;m;;multiple officers;0;
181;;;;;0;
182;;m;;resource officer;0;
183;;;;police officer;0;
184;;m;;police officer;0;
185;;;;none;0;
186;;;;sheriff's deputy;;
187;;;;;;
188;;f;;student;;
189;;;;resource officer;;
190;;m;;;;
191;;;;student;;
192;;;;school police officer;;
193;;m;;student;;
194;;f;;off-duty police officer;;
195;;m;;sheriff deputy;0;
196;;;;parent of student;;
197;;;;staff member;1;suicide
198;15;m;b;;0;
199;12;m;;student;0;
200;15;m;w;;1;suicide
201;;;;;0;
202;;;;police officer;;
203;;m;;police officer;;
204;15;m;;;0;
205;17;m;;none;;
206;17;m;w;student at rival school;0;
207;18;m;w;student;0;
208;20;m;b;none;0;