uid,lat,long
1,21.3104,-157.8372
2,25.5369,-80.453001
3,25.84814,-80.243461
4,25.913899,-97.493734
5,25.938839,-80.276769
6,26.1106,-97.5108
7,26.13796,-80.424081
8,26.1383,-80.176
9,26.304483,-80.269365
10,26.451351,-80.085968
11,26.64062,-81.834212
12,26.709238,-80.059481
13,27.120513,-80.234928
14,27.99133,-82.43267
15,28.273253,-82.687231
16,28.5428,-81.5673
17,28.57586,-81.475051
18,28.673157,-81.494124
19,28.68172,-81.34669
20,28.7793,-81.283
21,28.824494,-82.499153
22,29.14362,-82.066682
23,29.199304,-99.78812
24,29.393257,-95.143149
25,29.45738,-98.3578
26,29.5004,-90.3295
27,29.605766,-95.44306
28,29.60752,-90.734161
29,29.678303,-95.182324
30,29.692163,-95.469159
31,29.795384,-95.3935
32,29.800326,-95.341835
33,29.867029,-95.259744
34,29.868788,-95.26259
35,29.939676,-90.090046
36,29.93996,-90.079691
37,29.94966,-90.08893
38,29.94991,-90.08925
39,29.974421,-90.075733
40,30.27037,-81.61618
41,30.29966,-93.2032
42,30.308617,-81.617917
43,30.3606,-97.708
44,30.371086,-81.695138
45,30.371983,-103.665798
46,30.3895,-81.707
47,30.3906,-81.7073
48,30.529958,-91.169966
49,30.53365,-91.177851
50,30.6828,-88.0867
51,30.714209,-88.086526
52,30.743233,-88.080692
53,31.175943,-83.804368
54,31.562163,-91.394805
55,31.56269,-110.29924
56,31.696012,-96.473307
57,32.10841,-81.15661
58,32.181129,-96.878968
59,32.261547,-107.762986
60,32.288835,-90.196049
61,32.305062,-96.629758
62,32.3106,-86.1324
63,32.323263,-90.885251
64,32.378702,-86.271649
65,32.428416,-87.022637
66,32.446371,-89.105538
67,32.503605,-93.77398
68,32.524187,-92.070624
69,32.54958,-95.86617
70,32.622073,-97.076321
71,32.65726,-97.36
72,32.6857,-114.5107
73,32.70713,-87.589
74,32.759323,-96.744389
75,32.763804,-97.125993
76,32.780532,-89.105653
77,32.800101,-116.916889
78,32.85566,-96.57589
79,32.85756,-116.971045
80,33.14836,-117.311227
81,33.3757,-112.1463
82,33.459564,-81.937992
83,33.4736,-104.5115
84,33.521766,-81.71303
85,33.524095,-80.836538
86,33.53216,-112.221
87,33.5427,-84.3428
88,33.543141,-89.274143
89,33.59297,-84.5176
90,33.593,-84.5176
91,33.61291,-86.682
92,33.626922,-84.04796
93,33.6514,-92.7796
94,33.6612,-85.82
95,33.6788,-79.004328
96,33.708772,-84.387442
97,33.725,-84.1294
98,33.7273,-84.3068
99,33.7339,-84.5038
100,33.780761,-78.97152
101,33.791237,-93.377376
102,33.844274,-118.384456
103,33.866342,-118.296704
104,33.866372,-118.29633
105,33.954604,-118.209757
106,33.99881,-118.44282
107,34.0107,-86.0562
108,34.010732,-95.511435
109,34.0271,-117.7144
110,34.036765,-118.212583
111,34.041846,-118.175531
112,34.048231,-81.040984
113,34.061499,-118.263286
114,34.06169,-118.265
115,34.0847,-86.586
116,34.160149,-119.1822
117,34.16568,-119.1814
118,34.177798,-118.415327
119,34.179206,-117.301804
120,34.1876,-119.2135
121,34.189927,-92.065921
122,34.219096,-92.010781
123,34.2374,-77.9324
124,34.2618,-78.0429
125,34.393145,-82.238603
126,34.441924,-118.518128
127,34.56311,-82.903471
128,34.591755,-118.175561
129,34.593282,-86.97216
130,34.736827,-92.298954
131,34.737634,-80.11771
132,34.740322,-86.741148
133,34.77972,-84.99053
134,34.824083,-82.46882
135,34.948919,-90.035423
136,35.032022,-90.036586
137,35.034044,-78.762384
138,35.05595,-90.08589
139,35.059669,-106.583882
140,35.074841,-106.592413
141,35.086144,-106.661691
142,35.10069,-90.0174
143,35.1189,-90.0283
144,35.1203,-80.6916
145,35.146256,-119.460383
146,35.175976,-80.756579
147,35.225991,-80.743914
148,35.228498,-101.824434
149,35.236843,-80.812768
150,35.255494,-96.943184
151,35.26039,-80.77591
152,35.2654,-80.8585
153,35.312773,-106.641929
154,35.3219,-82.473
155,35.371268,-80.193152
156,35.425762,-81.539104
157,35.5306,-77.3248
158,35.563,-80.5457
159,35.585093,-78.793497
160,35.629468,-98.324487
161,35.6648,-80.4849
162,35.675,-88.7593
163,35.795556,-95.241921
164,35.879122,-79.068506
165,35.9485,-83.973
166,35.95795,-80.0231
167,35.9887,-86.5597
168,35.9901,-83.887
169,36.0213,-83.4041
170,36.0392,-83.9216
171,36.047164,-102.499399
172,36.09233,-79.09337
173,36.09286762,-86.82526612
174,36.1268,-80.3132
175,36.1343,-80.2066
176,36.176163,-115.202879
177,36.20418,-115.097412
178,36.22912,-86.74568
179,36.233566,-115.135695
180,36.35086,-84.14832
181,36.531336,-82.387049
182,36.62444,-121.838
183,36.686184,-121.595961
184,36.74302,-119.7537
185,36.79721,-76.24185
186,36.815009,-76.381349
187,36.81828,-76.3393
188,36.820644,-107.990379
189,36.82682,-76.36628
190,36.912835,-88.332917
191,37.0063,-76.4272
192,37.08277,-94.51586
193,37.1564,-76.5237
194,37.286387,-120.494808
195,37.426801,-120.792392
196,37.510274,-77.483075
197,37.6566,-122.083
198,37.661586,-77.483135
199,37.719558,-122.425241
200,37.727297,-122.178837
201,37.727439,-89.227812
202,37.75982,-122.16302
203,37.76573,-122.153923
204,37.78108,-90.43619
205,37.969409,-122.288035
206,38.0063,-121.8163
207,38.111902,-122.243859
208,38.156605,-85.592357
209,38.24743,-76.4875
210,38.3173,-104.7291
211,38.34635,-121.97421
212,38.4497,-122.7226
213,38.469639,-121.435306
214,38.5333,-121.4182
215,38.604372,-90.270897
216,38.6226,-77.2671
217,38.735106,-120.779419
218,38.735563,-82.986607
219,38.828872,-76.999555
220,38.839005,-77.001667
221,38.853645,-76.917277
222,38.8959,-94.7539
223,38.896669,-76.933728
224,38.922338,-77.029756
225,38.942971,-77.029177
226,38.94304098,-77.06209293
227,38.957407,-76.746341
228,39.0168,-94.6409
229,39.044149,-84.49833
230,39.0554877,-94.59127529
231,39.094,-94.5688
232,39.10911,-84.52183
233,39.1313,-77.1183
234,39.189162,-84.586704
235,39.240746,-94.45515
236,39.251506,-84.555558
237,39.302595,-75.623778
238,39.3148,-76.6549
239,39.316116,-76.590038
240,39.31911,-76.54552
241,39.3322,-76.5911
242,39.366066000000004,-76.571382
243,39.39186,-76.466091
244,39.420621,-86.427053
245,39.45566,-105.64543
246,39.474405,-88.386955
247,39.47981,-119.78186
248,39.53385,-84.4433
249,39.5517,-119.7694
250,39.5559,-104.9979
251,39.5817,-104.9628
252,39.5869,-105.102
253,39.60391,-105.075
254,39.668622,-75.584879
255,39.6716,-89.629
256,39.689,-87.4138
257,39.7349,-104.8086
258,39.7416,-104.9557
259,39.832,-84.9114
260,39.841774,-105.015495
261,39.893809,-76.609728
262,39.90163,-82.9958
263,39.9081,-86.018
264,39.921509,-75.234108
265,39.94497,-82.910821
266,39.95793,-75.2374
267,39.960081,-76.084367
268,39.96367,-75.162
269,39.998621,-75.168248
270,40.0028,-75.1781
271,40.00952,-82.974011
272,40.015716,-122.398455
273,40.0331,-75.1446
274,40.0344,-76.2998
275,40.07825,-86.029001
276,40.0942,-82.9647
277,40.21594,-83.756761
278,40.21999,-76.95256
279,40.4607,-79.90059
280,40.4609,-79.9012
281,40.464327,-80.024121
282,40.533285,-88.914486
283,40.5638,-88.6136
284,40.60715,-111.873061
285,40.6223,-74.0787
286,40.622473,-73.954975
287,40.655508,-111.936978
288,40.706963,-74.083408
289,40.70725,-89.57513
290,40.716783,-74.070502
291,40.719909,-73.991729
292,40.774262,-73.985021
293,40.774742,-111.900444
294,40.8425,-73.891
295,40.872489,-111.861172
296,40.9258,-73.8151
297,40.996241,-72.529205
298,41.044822,-80.552325
299,41.059329,-73.536464
300,41.177547,-73.164585
301,41.203481,-96.146049
302,41.249266,-76.996564
303,41.325823,-72.963177
304,41.32981839,-72.9357119
305,41.41978,-73.277751
306,41.50762,-81.6869
307,41.536645,-87.34132
308,41.591297,-81.199958
309,41.5969,-93.600681
310,41.60997,-87.26145
311,41.61606,-87.643734
312,41.672866,-85.726857
313,41.6948,-73.9138
314,41.7184,-87.62085
315,41.726922,-87.575184
316,41.73354,-87.557742
317,41.7344,-87.6188
318,41.7372,-87.57236
319,41.8244,-87.6199
320,41.837981,-71.45125
321,41.847128,-89.488508
322,41.88062,-87.83382
323,41.885272,-87.766042
324,41.9568,-87.6469
325,42.101896,-80.082293
326,42.2499,-84.4185
327,42.285268,-71.075901
328,42.286784,-89.137895
329,42.306942,-71.081648
330,42.33419,-85.207497
331,42.35333175,-87.83950925
332,42.3837,-83.1115
333,42.38469,-83.11269
334,42.450386,-83.159362
335,42.522585,-83.066681
336,42.5826821,-70.95260296
337,42.62068,-73.690848
338,42.73889,-84.5243
339,42.838243,-83.260782
340,42.993,-88.2237
341,42.9966,-83.6785
342,43.05063,-87.95774
343,43.059497,-83.73516
344,43.078915,-72.426439
345,43.079604,-83.706037
346,43.1261,-88.0128
347,43.188169,-77.597958
348,43.208,-123.34712
349,43.2197,-77.3036
350,43.40713,-83.92541
351,43.43212,-96.6998
352,43.458011,-83.438553
353,43.48211,-90.19016
354,43.60478,-84.0783
355,43.64091,-84.27414
356,43.668498,-111.941927
357,44.0225,-88.5736
358,44.0523,-121.2959
359,44.0788,-123.1667
360,44.159231,-94.017529
361,44.868045,-93.310844
362,44.994017,-93.300234
363,45.004709,-93.177024
364,45.020964,-93.406233
365,45.084351,-87.629512
366,45.466258,-94.426618
367,45.48655,-122.40894
368,45.4985,-122.6391
369,45.5285,-122.4026
370,46.372185,-102.318612
371,46.4805,-87.7289
372,46.591635,-120.565796
373,46.850867,-114.057737
374,47.051956,-122.83241
375,47.24114,-122.49364
376,47.493015,-122.233115
377,47.519667,-117.19638
378,47.593761,-122.63622
379,47.652394,-117.419841
380,47.7257,-122.3369
381,47.8509,-95.0629
382,48.09582,-122.154021
383,61.213281,-149.881113
384,,
